"날짜","종가","시가","고가","저가","거래량","변동 %"
"2014- 05- 26","2,010.35","2,016.21","2,020.96","2,008.14","196.58M","-0.34%"
"2014- 05- 23","2,017.17","2,013.09","2,017.96","2,011.76","241.81M","0.08%"
"2014- 05- 22","2,015.59","2,015.41","2,022.59","2,011.60","231.08M","0.36%"
"2014- 05- 21","2,008.33","2,003.48","2,015.63","2,001.74","224.09M","-0.15%"
"2014- 05- 20","2,011.26","2,011.85","2,014.46","2,004.32","248.34M","-0.19%"
"2014- 05- 19","2,015.14","2,013.79","2,015.53","2,002.89","265.60M","0.08%"
"2014- 05- 16","2,013.44","2,003.48","2,013.44","1,997.27","232.53M","0.16%"
"2014- 05- 15","2,010.20","2,007.88","2,015.37","2,006.38","259.39M","-0.03%"
"2014- 05- 14","2,010.83","1,990.99","2,010.85","1,990.79","233.87M","1.41%"
"2014- 05- 13","1,982.93","1,973.08","1,988.41","1,969.60","242.16M","0.92%"
"2014- 05- 12","1,964.94","1,956.26","1,966.64","1,950.91","201.64M","0.43%"
"2014- 05- 09","1,956.55","1,953.48","1,958.34","1,949.64","205.21M","0.31%"
"2014- 05- 08","1,950.60","1,945.94","1,950.60","1,934.72","222.43M","0.55%"
"2014- 05- 07","1,939.88","1,964.19","1,964.19","1,939.55","193.04M","-1.00%"
"2014- 05- 02","1,959.44","1,966.29","1,968.50","1,956.32","179.54M","-0.12%"
"2014- 04- 30","1,961.79","1,973.56","1,974.33","1,955.15","227.32M","-0.15%"
"2014- 04- 29","1,964.77","1,974.67","1,976.17","1,960.36","177.61M","-0.23%"
"2014- 04- 28","1,969.26","1,969.04","1,976.56","1,969.04","168.83M","-0.12%"
"2014- 04- 25","1,971.66","1,996.61","1,996.64","1,971.66","208.36M","-1.34%"
"2014- 04- 24","1,998.34","2,006.38","2,007.17","1,993.18","235.08M","-0.10%"
"2014- 04- 23","2,000.37","2,010.06","2,013.09","1,999.78","241.74M","-0.19%"
"2014- 04- 22","2,004.22","2,000.94","2,004.42","1,991.47","212.02M","0.25%"
"2014- 04- 21","1,999.22","2,006.21","2,006.95","1,993.53","205.58M","-0.25%"
"2014- 04- 18","2,004.28","1,998.52","2,005.22","1,998.26","206.51M","0.61%"
"2014- 04- 17","1,992.05","2,000.47","2,001.29","1,984.98","200.19M","-0.01%"
"2014- 04- 16","1,992.21","1,994.31","1,995.86","1,986.25","230.74M","0.00%"
"2014- 04- 15","1,992.27","2,008.49","2,009.04","1,990.34","194.53M","-0.24%"
"2014- 04- 14","1,997.02","1,993.81","2,001.00","1,993.07","205.71M","-0.02%"
"2014- 04- 11","1,997.44","1,985.28","1,997.44","1,985.16","218.13M","-0.56%"
"2014- 04- 10","2,008.61","2,007.71","2,008.98","1,995.79","232.45M","0.48%"
"2014- 04- 09","1,998.95","1,997.98","2,001.15","1,992.12","233.70M","0.30%"
"2014- 04- 08","1,993.03","1,977.61","1,994.58","1,977.61","218.15M","0.17%"
"2014- 04- 07","1,989.70","1,984.29","1,992.18","1,978.63","186.35M","0.08%"
"2014- 04- 04","1,988.09","1,987.84","1,993.96","1,985.76","225.64M","-0.28%"
"2014- 04- 03","1,993.70","1,999.42","2,007.88","1,992.16","225.73M","-0.18%"
"2014- 04- 02","1,997.25","2,000.13","2,001.26","1,995.08","220.91M","0.26%"
