episode_id,equity_peak_date,equity_trough_date,equity_mdd,weight,portfolio_peak_date,portfolio_trough_date,portfolio_mdd,recovered,recovery_days,pair,rebalance_freq
0,1997-10-07,1997-10-27,-0.10793327999216507,0.0,1997-10-07,1997-10-17,-0.015652990259574895,True,10.0,sp500,none
1,1998-07-17,1998-08-31,-0.1934721360278806,1.0,1998-07-17,1998-08-31,-0.1934721360278806,True,84.0,sp500,none
1,1998-07-17,1998-08-31,-0.1934721360278806,0.8,1998-07-17,1998-08-31,-0.16202212480009548,True,84.0,sp500,none
1,1998-07-17,1998-08-31,-0.1934721360278806,0.6,1998-07-17,1998-08-31,-0.12483580781455972,True,81.0,sp500,none
1,1998-07-17,1998-08-31,-0.1934721360278806,0.4,1998-07-17,1998-08-31,-0.08018629226335838,True,59.0,sp500,none
1,1998-07-17,1998-08-31,-0.1934721360278806,0.2,1998-07-17,1998-08-31,-0.025576202440368734,True,11.0,sp500,none
1,1998-07-17,1998-08-31,-0.1934721360278806,0.0,1998-07-17,1998-07-17,0.0,True,0.0,sp500,none
2,1999-07-16,1999-10-15,-0.12072856324287484,1.0,1999-07-16,1999-10-15,-0.12072856324287484,True,32.0,sp500,none
2,1999-07-16,1999-10-15,-0.12072856324287484,0.8,1999-07-16,1999-10-15,-0.10832067019888769,True,32.0,sp500,none
2,1999-07-16,1999-10-15,-0.12072856324287484,0.6,1999-07-16,1999-10-15,-0.09306639128660066,True,32.0,sp500,none
2,1999-07-16,1999-10-15,-0.12072856324287484,0.4,1999-07-16,1999-10-15,-0.07385938144011739,True,69.0,sp500,none
2,1999-07-16,1999-10-15,-0.12072856324287484,0.2,1999-07-16,1999-08-10,-0.0525839950966992,True,219.0,sp500,none
2,1999-07-16,1999-10-15,-0.12072856324287484,0.0,1999-07-16,1999-08-10,-0.03182628958195255,True,15.0,sp500,none
3,2000-03-24,2002-10-09,-0.49172524536518436,1.0,2000-03-24,2002-10-09,-0.49172524536518436,True,1694.0,sp500,none
3,2000-03-24,2002-10-09,-0.49172524536518436,0.8,2000-03-24,2002-10-09,-0.39363572603862873,True,1560.0,sp500,none
3,2000-03-24,2002-10-09,-0.49172524536518436,0.6,2000-03-24,2002-07-23,-0.28594523839669495,True,1263.0,sp500,none
3,2000-03-24,2002-10-09,-0.49172524536518436,0.4,2000-03-24,2002-07-23,-0.14854195932169123,True,323.0,sp500,none
3,2000-03-24,2002-10-09,-0.49172524536518436,0.2,2000-03-24,2000-05-10,-0.03935536389919225,True,34.0,sp500,none
3,2000-03-24,2002-10-09,-0.49172524536518436,0.0,2000-03-24,2000-05-08,-0.019676106104313473,True,18.0,sp500,none
4,2007-10-09,2009-03-09,-0.5681115884222842,1.0,2007-10-09,2009-03-09,-0.5681115884222842,True,1480.0,sp500,none
4,2007-10-09,2009-03-09,-0.5681115884222842,0.8,2007-10-09,2009-03-09,-0.4418084551493642,True,1277.0,sp500,none
4,2007-10-09,2009-03-09,-0.5681115884222842,0.6,2007-10-09,2009-03-09,-0.30270298742866153,True,792.0,sp500,none
4,2007-10-09,2009-03-09,-0.5681115884222842,0.4,2007-10-09,2009-03-09,-0.14874476307719797,True,500.0,sp500,none
4,2007-10-09,2009-03-09,-0.5681115884222842,0.2,2007-10-09,2008-10-15,-0.029545618380328875,True,20.0,sp500,none
4,2007-10-09,2009-03-09,-0.5681115884222842,0.0,2007-10-09,2007-10-12,-0.002206712866113736,True,4.0,sp500,none
5,2015-05-21,2016-02-11,-0.14210690159644734,1.0,2015-05-21,2016-02-11,-0.14210690159644734,True,151.0,sp500,none
5,2015-05-21,2016-02-11,-0.14210690159644734,0.8,2015-05-21,2016-02-11,-0.10581467805472189,True,116.0,sp500,none
5,2015-05-21,2016-02-11,-0.14210690159644734,0.6,2015-05-21,2015-08-25,-0.07309184351041265,True,220.0,sp500,none
5,2015-05-21,2016-02-11,-0.14210690159644734,0.4,2015-05-21,2015-08-25,-0.04529923126973456,True,64.0,sp500,none
5,2015-05-21,2016-02-11,-0.14210690159644734,0.2,2015-05-21,2015-06-10,-0.021480330463018227,True,51.0,sp500,none
5,2015-05-21,2016-02-11,-0.14210690159644734,0.0,2015-05-21,2015-06-10,-0.02421778340190217,True,28.0,sp500,none
6,2018-01-26,2018-02-08,-0.10171045086819352,1.0,2018-01-26,2018-02-08,-0.10171045086819352,True,197.0,sp500,none
6,2018-01-26,2018-02-08,-0.10171045086819352,0.8,2018-01-26,2018-02-08,-0.08955668958879948,True,197.0,sp500,none
6,2018-01-26,2018-02-08,-0.10171045086819352,0.6,2018-01-26,2018-02-08,-0.07535333575498082,True,197.0,sp500,none
6,2018-01-26,2018-02-08,-0.10171045086819352,0.4,2018-01-26,2018-02-08,-0.05853418716756831,True,197.0,sp500,none
6,2018-01-26,2018-02-08,-0.10171045086819352,0.2,2018-01-26,2018-04-25,-0.04071835201687102,True,117.0,sp500,none
6,2018-01-26,2018-02-08,-0.10171045086819352,0.0,2018-01-26,2018-05-17,-0.03003952799726828,True,95.0,sp500,none
7,2018-09-20,2018-12-24,-0.19801716717669304,1.0,2018-09-20,2018-12-24,-0.19801716717669304,True,120.0,sp500,none
7,2018-09-20,2018-12-24,-0.19801716717669304,0.8,2018-09-20,2018-12-24,-0.16669974978612878,True,109.0,sp500,none
7,2018-09-20,2018-12-24,-0.19801716717669304,0.6,2018-09-20,2018-12-24,-0.12969951088093779,True,98.0,sp500,none
7,2018-09-20,2018-12-24,-0.19801716717669304,0.4,2018-09-20,2018-12-24,-0.08531530987724667,True,78.0,sp500,none
7,2018-09-20,2018-12-24,-0.19801716717669304,0.2,2018-09-20,2018-12-24,-0.03109176934997293,True,31.0,sp500,none
